O*NET-SOC Code,Title,Example,Commodity Code,Commodity Title,Hot Technology,In Demand
11-1011.00,Chief Executives,Adobe Acrobat,43232202,Document management software,Y,N
11-1011.00,Chief Executives,AdSense Tracker,43232306,Data base user interface and query software,N,N
11-1011.00,Chief Executives,Atlassian JIRA,43232201,Content workflow software,Y,N
11-1011.00,Chief Executives,Blackbaud The Raiser's Edge,43232303,Customer relationship management CRM software,N,N
11-1011.00,Chief Executives,ComputerEase construction accounting software,43231601,Accounting software,N,N
11-1011.00,Chief Executives,Database reporting software,43232305,Data base reporting software,N,N
11-1011.00,Chief Executives,Databox,43232306,Data base user interface and query software,N,N
11-1011.00,Chief Executives,Email software,43233501,Electronic mail software,N,N
11-1011.00,Chief Executives,Enterprise resource planning ERP software,43231602,Enterprise resource planning ERP software,N,N
11-1011.00,Chief Executives,Exact Software Macola ES Labor Performance,43231605,Time accounting software,N,N
11-1011.00,Chief Executives,Extensible markup language XML,43232403,Enterprise application integration software,Y,N
11-1011.00,Chief Executives,Fund accounting software,43231601,Accounting software,N,N
11-1011.00,Chief Executives,Graphic presentation software,43232102,Graphics or photo imaging software,N,N
11-1011.00,Chief Executives,Halogen e360,43231505,Human resources software,N,N
11-1011.00,Chief Executives,Halogen ePraisal,43231505,Human resources software,N,N
11-1011.00,Chief Executives,HCSS HeavyBid,43231507,Project management software,N,N
11-1011.00,Chief Executives,HCSS HeavyJob,43231507,Project management software,N,N
11-1011.00,Chief Executives,Human resource information system (HRIS),43231505,Human resources software,N,N
11-1011.00,Chief Executives,Infor SSA Human Capital Management,43231505,Human resources software,N,N
11-1011.00,Chief Executives,Intuit QuickBooks,43231601,Accounting software,Y,N
11-1011.00,Chief Executives,Listserv software,43233501,Electronic mail software,N,N
11-1011.00,Chief Executives,Lyris HQ Web-Analytics Solution,43232605,Analytical or scientific software,N,N
11-1011.00,Chief Executives,Mentimeter,43232106,Presentation software,N,N
11-1011.00,Chief Executives,Microsoft Access,43232306,Data base user interface and query software,Y,N
11-1011.00,Chief Executives,Microsoft Dynamics,43231602,Enterprise resource planning ERP software,N,N
11-1011.00,Chief Executives,Microsoft Dynamics AX,43231602,Enterprise resource planning ERP software,N,N
11-1011.00,Chief Executives,Microsoft Dynamics GP,43231602,Enterprise resource planning ERP software,N,N
11-1011.00,Chief Executives,Microsoft Excel,43232110,Spreadsheet software,Y,Y
11-1011.00,Chief Executives,Microsoft FRx,43231604,Financial analysis software,N,N
11-1011.00,Chief Executives,Microsoft Office software,43231513,Office suite software,Y,Y
11-1011.00,Chief Executives,Microsoft Outlook,43233501,Electronic mail software,Y,Y
11-1011.00,Chief Executives,Microsoft PowerPoint,43232106,Presentation software,Y,Y
11-1011.00,Chief Executives,Microsoft Project,43231507,Project management software,Y,N
11-1011.00,Chief Executives,Microsoft Publisher,43232112,Desktop publishing software,N,N
11-1011.00,Chief Executives,Microsoft SharePoint,43232202,Document management software,Y,N
11-1011.00,Chief Executives,Microsoft Word,43232104,Word processing software,Y,N
11-1011.00,Chief Executives,Nedstat Sitestat,43232605,Analytical or scientific software,N,N
11-1011.00,Chief Executives,Norchard Solutions Succession Wizard,43231605,Time accounting software,N,N
11-1011.00,Chief Executives,Online advertising reporting software,43232605,Analytical or scientific software,N,N
11-1011.00,Chief Executives,Oracle E-Business Suite,43231602,Enterprise resource planning ERP software,N,N
11-1011.00,Chief Executives,Oracle PeopleSoft,43231602,Enterprise resource planning ERP software,Y,N
11-1011.00,Chief Executives,Oracle Siebel Server Sync,43232303,Customer relationship management CRM software,N,N
11-1011.00,Chief Executives,PHP,43232408,Web platform development software,Y,N
11-1011.00,Chief Executives,Relational database management software,43232304,Data base management system software,N,N
11-1011.00,Chief Executives,Sage 50 Accounting,43231601,Accounting software,N,N
11-1011.00,Chief Executives,SAP software,43231602,Enterprise resource planning ERP software,Y,N
11-1011.00,Chief Executives,SmugMug Flickr,43232102,Graphics or photo imaging software,N,N
11-1011.00,Chief Executives,Structured query language SQL,43232306,Data base user interface and query software,Y,N
11-1011.00,Chief Executives,Web browser software,43232705,Internet browser software,N,N
11-1011.03,Chief Sustainability Officers,Adobe Acrobat,43232202,Document management software,Y,N
11-1011.03,Chief Sustainability Officers,Adobe Photoshop,43232102,Graphics or photo imaging software,Y,N
11-1011.03,Chief Sustainability Officers,Email software,43233501,Electronic mail software,N,N
11-1011.03,Chief Sustainability Officers,Facebook,43232107,Web page creation and editing software,Y,N
11-1011.03,Chief Sustainability Officers,Management information systems MIS,43231602,Enterprise resource planning ERP software,N,N
11-1011.03,Chief Sustainability Officers,Microsoft Access,43232306,Data base user interface and query software,Y,N
11-1011.03,Chief Sustainability Officers,Microsoft Dynamics GP,43231602,Enterprise resource planning ERP software,N,N
11-1011.03,Chief Sustainability Officers,Microsoft Excel,43232110,Spreadsheet software,Y,Y
11-1011.03,Chief Sustainability Officers,Microsoft Office software,43231513,Office suite software,Y,Y
11-1011.03,Chief Sustainability Officers,Microsoft Outlook,43233501,Electronic mail software,Y,Y
11-1011.03,Chief Sustainability Officers,Microsoft PowerPoint,43232106,Presentation software,Y,Y
11-1011.03,Chief Sustainability Officers,Microsoft Project,43231507,Project management software,Y,N
11-1011.03,Chief Sustainability Officers,Microsoft SharePoint,43232202,Document management software,Y,N
11-1011.03,Chief Sustainability Officers,Microsoft Word,43232104,Word processing software,Y,N
11-1011.03,Chief Sustainability Officers,Salesforce software,43232303,Customer relationship management CRM software,Y,N
11-1011.03,Chief Sustainability Officers,SAP software,43231602,Enterprise resource planning ERP software,Y,N
11-1011.03,Chief Sustainability Officers,Scheduling software,43232108,Calendar and scheduling software,N,N
11-1011.03,Chief Sustainability Officers,Structure query language SQL,43232306,Data base user interface and query software,N,N
11-1011.03,Chief Sustainability Officers,Tableau,43232314,Business intelligence and data analysis software,Y,N
11-1011.03,Chief Sustainability Officers,Teleconferencing software,43233502,Video conferencing software,N,N
11-1011.03,Chief Sustainability Officers,Web browser software,43232705,Internet browser software,N,N
11-1021.00,General and Operations Managers,Act!,43232303,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,ActionWare,43232303,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,Adobe Acrobat,43232202,Document management software,Y,N
11-1021.00,General and Operations Managers,Adobe Creative Cloud software,43232102,Graphics or photo imaging software,Y,N
11-1021.00,General and Operations Managers,Adobe Photoshop,43232102,Graphics or photo imaging software,Y,N
11-1021.00,General and Operations Managers,ADP Workforce Now,43231505,Human resources software,N,N
11-1021.00,General and Operations Managers,Airtable,43232306,Data base user interface and query software,N,N
11-1021.00,General and Operations Managers,Amazon Web Services AWS software,43232306,Data base user interface and query software,Y,N
11-1021.00,General and Operations Managers,AMG Teleran SalesInSync,43232303,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,Apache Hadoop,43232304,Data base management system software,Y,N
11-1021.00,General and Operations Managers,Apple Final Cut Pro,43232103,Video creation and editing software,N,N
11-1021.00,General and Operations Managers,Apple Keynote,43232106,Presentation software,N,N
11-1021.00,General and Operations Managers,Apple macOS,43233004,Operating system software,Y,N
11-1021.00,General and Operations Managers,Atlassian Confluence,43231507,Project management software,Y,N
